RepID,ManagerID,Segment,Region,TenureMonths,Certified,AvgDealSize,Opportunities,Wins,RawWinRate,TrueWinRate,ExposureMonths,OutboundMeetings,RawMeetingsPerMonth,TrueMeetingsPerMonth,MeanDiscountPct,DiscountSD,TrueMeanDiscountPct,Losses,LossCompetitor,LossNoDecision,LossBudget,LossTiming,TrueLossCompetitor,TrueLossNoDecision,TrueLossBudget,TrueLossTiming
R-1033,M-204,Mid-Market,EMEA,21.3,Yes,42700,90,40,0.4444,0.4034,21.3,172,8.0751,8.2951,10.0484,9.1869,9.9344,50,18,10,13,9,0.2427,0.3029,0.2936,0.1607
R-1034,M-204,Mid-Market,EMEA,18.2,Yes,57900,71,36,0.507,0.5489,18.2,73,4.011,4.1394,12.5394,9.3377,14.0948,35,5,18,6,6,0.238,0.3754,0.1799,0.2067
R-1035,M-204,Mid-Market,EMEA,22.5,No,59300,76,18,0.2368,0.2812,22.5,69,3.0667,3.0529,12.4215,8.9751,11.5584,58,24,9,14,11,0.3811,0.0891,0.296,0.2339
R-1036,M-204,Mid-Market,EMEA,18.7,Yes,48000,52,12,0.2308,0.2569,18.7,78,4.1711,3.6545,9.2385,8.1328,7.4913,40,11,11,1,17,0.3166,0.2711,0.0491,0.3632
R-1037,M-204,Mid-Market,EMEA,4.8,Yes,50200,10,2,0.2,0.161,4.8,21,4.375,3.6485,15.466,12.1124,13.7689,8,5,1,2,0,0.3805,0.5203,0.0623,0.037
R-1038,M-204,Mid-Market,EMEA,16.8,No,45400,35,4,0.1143,0.1459,16.8,89,5.2976,5.0516,10.0675,9.5636,9.9611,31,16,4,3,8,0.4194,0.1471,0.0876,0.3459
R-1039,M-204,Mid-Market,EMEA,17.7,No,40100,74,32,0.4324,0.3605,17.7,57,3.2203,3.3549,13.843,10.0331,12.681,42,9,12,11,10,0.2919,0.3613,0.2026,0.1442
R-1040,M-204,Mid-Market,EMEA,21.3,No,62500,73,13,0.1781,0.1583,21.3,104,4.8826,4.5048,11.3302,9.5163,11.292,60,26,11,15,8,0.349,0.1745,0.2482,0.2283
R-1041,M-204,Mid-Market,EMEA,14.6,Yes,48800,37,16,0.4324,0.4001,14.6,39,2.6712,3.8776,14.4251,10.3929,13.2976,21,8,6,3,4,0.36,0.2869,0.135,0.2181
R-1042,M-204,Mid-Market,EMEA,7.5,No,43500,23,7,0.3043,0.2444,7.5,16,2.1333,2.1881,14.5991,12.0938,12.507,16,7,9,0,0,0.3481,0.4338,0.1491,0.069
R-1043,M-205,Mid-Market,North America,18.8,Yes,49900,79,6,0.0759,0.1041,18.8,87,4.6277,5.0792,11.5611,9.2772,13.1271,73,28,14,28,3,0.3196,0.2211,0.3943,0.065
R-1044,M-205,Mid-Market,North America,53.3,No,42400,63,3,0.0476,0.0898,24.0,71,2.9583,2.9615,9.632,9.4427,7.2409,60,24,22,6,8,0.3705,0.3397,0.091,0.1987
R-1045,M-205,Mid-Market,North America,26.2,No,38200,116,12,0.1034,0.0753,24.0,105,4.375,4.2586,10.8067,8.4037,10.0621,104,10,57,9,28,0.0837,0.551,0.0744,0.2909
R-1046,M-205,Mid-Market,North America,3.7,Yes,39300,6,1,0.1667,0.2363,3.7,18,4.8649,5.1942,16.3033,5.9504,13.8931,5,0,1,2,2,0.4248,0.2338,0.2755,0.066
R-1047,M-205,Mid-Market,North America,6.8,No,48800,20,4,0.2,0.1703,6.8,34,5.0,4.4329,13.1801,8.1264,10.3912,16,10,4,1,1,0.4991,0.2874,0.1414,0.0721
R-1048,M-205,Mid-Market,North America,26.0,No,39800,74,15,0.2027,0.1669,24.0,77,3.2083,3.1101,11.6825,9.8327,10.1029,59,19,31,5,4,0.3509,0.5263,0.0723,0.0505
R-1049,M-206,SMB,North America,5.9,Yes,11300,39,10,0.2564,0.2079,5.9,36,6.1017,7.1447,11.1697,9.8336,12.1659,29,5,5,11,8,0.3427,0.2557,0.2541,0.1474
R-1050,M-206,SMB,North America,3.7,No,10000,16,5,0.3125,0.2412,3.7,18,4.8649,5.4065,8.5523,8.912,7.278,11,2,8,1,0,0.1558,0.5146,0.2055,0.124
R-1051,M-206,SMB,North America,52.0,No,8100,214,66,0.3084,0.307,24.0,193,8.0417,7.2358,11.2784,9.608,10.2245,148,56,35,33,24,0.3523,0.2145,0.2495,0.1837
R-1052,M-206,SMB,North America,40.3,Yes,7500,162,59,0.3642,0.3426,24.0,212,8.8333,8.3609,19.4148,10.2843,15.8326,103,31,22,16,34,0.236,0.4014,0.1321,0.2305
R-1053,M-206,SMB,North America,11.9,No,10800,96,32,0.3333,0.3109,11.9,87,7.3109,6.5188,17.3007,10.5701,14.9769,64,12,20,6,26,0.115,0.2929,0.1131,0.479
R-1054,M-206,SMB,North America,20.3,No,10700,134,25,0.1866,0.2043,20.3,179,8.8177,7.5453,7.7312,7.7509,6.4438,109,26,33,31,19,0.1585,0.3457,0.2732,0.2226
R-1055,M-206,SMB,North America,22.0,Yes,8500,174,80,0.4598,0.4189,22.0,68,3.0909,3.5466,13.0494,9.7064,12.8054,94,25,40,8,21,0.2394,0.4621,0.1033,0.1952
R-1056,M-206,SMB,North America,6.7,No,9500,50,8,0.16,0.1458,6.7,31,4.6269,3.2198,16.1413,9.7049,14.2253,42,7,7,23,5,0.1651,0.1874,0.4242,0.2234
R-1057,M-206,SMB,North America,25.3,No,7300,111,23,0.2072,0.2006,24.0,147,6.125,5.0951,9.4289,9.4527,8.0741,88,29,23,26,10,0.3248,0.2807,0.2991,0.0955
R-1058,M-206,SMB,North America,30.2,Yes,12900,187,77,0.4118,0.426,24.0,114,4.75,4.7489,12.6709,9.9146,11.7401,110,15,43,46,6,0.1225,0.5223,0.3135,0.0417
R-1059,M-206,SMB,North America,18.7,Yes,9400,172,35,0.2035,0.2482,18.7,117,6.2567,6.7038,12.5516,9.479,10.2271,137,10,37,50,40,0.098,0.3143,0.3317,0.2561
R-1060,M-206,SMB,North America,30.2,Yes,10400,115,48,0.4174,0.4507,24.0,137,5.7083,4.9582,10.7325,10.3218,9.4858,67,20,16,21,10,0.3064,0.1973,0.3178,0.1785
R-1061,M-206,SMB,North America,16.7,No,11300,152,51,0.3355,0.3288,16.7,121,7.2455,7.3071,11.9185,9.4094,11.0344,101,18,27,48,8,0.1612,0.2201,0.5557,0.063
R-1062,M-206,SMB,North America,12.5,No,9900,76,18,0.2368,0.2486,12.5,103,8.24,8.4103,12.0143,9.5134,12.2761,58,14,18,19,7,0.3014,0.3475,0.2296,0.1215
R-1063,M-206,SMB,North America,3.0,No,11500,14,1,0.0714,0.2341,3.0,15,5.0,7.0458,17.2263,10.9552,18.5048,13,1,6,2,4,0.1328,0.5332,0.1766,0.1574
R-1064,M-206,SMB,North America,6.7,Yes,7700,29,11,0.3793,0.337,6.7,32,4.7761,3.9451,10.2198,10.0456,9.3081,18,5,3,7,3,0.2145,0.1905,0.1684,0.4266
R-1065,M-206,SMB,North America,90.8,No,9100,242,99,0.4091,0.4268,24.0,215,8.9583,8.7294,19.072,10.5579,17.9279,143,49,41,17,36,0.3545,0.2908,0.1803,0.1744
R-1066,M-206,SMB,North America,5.2,Yes,8300,29,7,0.2414,0.2137,5.2,26,5.0,4.5965,14.4478,11.6672,11.5522,22,8,7,3,4,0.1848,0.4901,0.1704,0.1547
R-1067,M-207,Mid-Market,APAC,17.8,Yes,56300,28,3,0.1071,0.1803,17.8,74,4.1573,4.2082,21.0871,8.7121,16.8476,25,12,4,7,2,0.3629,0.312,0.2958,0.0293
R-1068,M-207,Mid-Market,APAC,23.5,Yes,41100,81,33,0.4074,0.4475,23.5,76,3.234,3.877,12.645,10.5258,12.4016,48,28,12,0,8,0.519,0.336,0.0339,0.1112
R-1069,M-207,Mid-Market,APAC,32.3,Yes,36800,69,26,0.3768,0.2918,24.0,95,3.9583,3.8965,11.0036,8.7134,6.8991,43,17,9,15,2,0.397,0.1989,0.3317,0.0724
R-1070,M-207,Mid-Market,APAC,49.1,Yes,49100,79,20,0.2532,0.1745,24.0,95,3.9583,2.9102,13.2221,9.3683,12.0381,59,14,20,13,12,0.2228,0.3678,0.2013,0.2081
R-1071,M-207,Mid-Market,APAC,29.2,No,38500,52,8,0.1538,0.1252,24.0,30,1.25,1.4962,16.3538,8.3424,18.0283,44,14,14,7,9,0.2961,0.3059,0.2346,0.1634
R-1072,M-207,Mid-Market,APAC,39.4,Yes,38300,62,21,0.3387,0.3178,24.0,90,3.75,3.7538,16.9558,8.8765,15.8766,41,9,18,10,4,0.1744,0.4284,0.2289,0.1683
R-1073,M-208,Enterprise,EMEA,8.0,No,215800,7,0,0.0,0.1261,8.0,14,1.75,1.7422,9.5608,9.669,9.8048,7,2,4,0,1,0.3641,0.5292,0.0297,0.077
R-1074,M-208,Enterprise,EMEA,68.3,Yes,216200,30,7,0.2333,0.3042,24.0,65,2.7083,2.3118,13.3795,8.9531,13.3579,23,8,8,1,6,0.496,0.3271,0.0869,0.09
R-1075,M-208,Enterprise,EMEA,35.7,No,196900,35,0,0.0,0.0725,24.0,20,0.8333,1.1029,14.2558,10.4431,12.0902,35,10,21,0,4,0.3681,0.5029,0.0126,0.1164
R-1076,M-208,Enterprise,EMEA,11.7,Yes,116400,10,0,0.0,0.1507,11.7,53,4.5299,3.9162,15.8386,7.9973,14.4558,10,2,5,2,1,0.242,0.4789,0.0772,0.2019
R-1077,M-208,Enterprise,EMEA,35.7,No,231400,43,10,0.2326,0.1327,24.0,41,1.7083,2.3228,12.867,9.5781,13.3709,33,7,18,2,6,0.1559,0.5656,0.1559,0.1226
R-1078,M-208,Enterprise,EMEA,25.3,No,206300,46,8,0.1739,0.1534,24.0,34,1.4167,1.6324,11.5509,9.6278,9.6519,38,8,21,2,7,0.3519,0.4358,0.0332,0.1791
R-1079,M-208,Enterprise,EMEA,16.0,No,153100,27,5,0.1852,0.1528,16.0,41,2.5625,2.3428,10.8546,10.0708,10.5956,22,13,6,0,3,0.5185,0.3414,0.0605,0.0796
R-1080,M-209,SMB,APAC,14.1,Yes,7600,116,34,0.2931,0.2746,14.1,93,6.5957,6.2493,7.5232,8.5287,5.9764,82,20,26,31,5,0.2981,0.3472,0.2973,0.0574
R-1081,M-209,SMB,APAC,15.1,Yes,11300,120,43,0.3583,0.3328,15.1,135,8.9404,8.4956,13.7451,9.8575,12.9598,77,7,48,16,6,0.1078,0.6957,0.143,0.0535
R-1082,M-209,SMB,APAC,17.7,No,5300,117,25,0.2137,0.2339,17.7,118,6.6667,6.6647,18.4518,10.9906,16.9294,92,20,26,13,33,0.2032,0.2317,0.1815,0.3836
R-1083,M-209,SMB,APAC,11.9,No,5300,83,26,0.3133,0.2234,11.9,38,3.1933,3.2728,11.944,9.1311,12.9757,57,14,18,16,9,0.3195,0.3086,0.2528,0.1191
R-1084,M-209,SMB,APAC,46.8,No,10300,165,31,0.1879,0.2176,24.0,102,4.25,4.7522,12.3531,10.0375,11.9726,134,11,63,57,3,0.0527,0.4839,0.3912,0.0722
R-1085,M-209,SMB,APAC,54.3,No,11000,176,45,0.2557,0.2949,24.0,109,4.5417,5.1801,11.5745,9.6039,9.382,131,49,36,25,21,0.3743,0.2677,0.2388,0.1192
R-1086,M-209,SMB,APAC,8.5,No,9300,71,15,0.2113,0.1938,8.5,78,9.1765,9.0426,13.1054,9.5161,13.2683,56,4,31,14,7,0.1088,0.5942,0.1166,0.1805
R-1087,M-209,SMB,APAC,9.6,No,5500,88,25,0.2841,0.2217,9.6,44,4.5833,5.5051,12.5189,10.867,10.4606,63,4,30,27,2,0.0652,0.4672,0.4307,0.0368
R-1088,M-209,SMB,APAC,19.6,Yes,11700,88,39,0.4432,0.371,19.6,143,7.2959,6.7594,19.5468,10.7203,18.5904,49,5,28,7,9,0.0731,0.4431,0.2145,0.2693
R-1089,M-209,SMB,APAC,42.8,No,11200,162,43,0.2654,0.2834,24.0,115,4.7917,5.2615,11.9663,9.1858,11.8865,119,51,27,33,8,0.3686,0.2447,0.2788,0.1079
R-1090,M-210,Mid-Market,EMEA,34.0,Yes,49600,61,12,0.1967,0.2044,24.0,68,2.8333,2.31,13.151,8.8178,13.5992,49,10,21,6,12,0.2119,0.463,0.1517,0.1734
R-1091,M-210,Mid-Market,EMEA,9.2,No,38600,25,3,0.12,0.1495,9.2,53,5.7609,5.1744,17.3427,11.9674,16.3882,22,4,16,2,0,0.1609,0.7161,0.1063,0.0168
R-1092,M-210,Mid-Market,EMEA,95.3,No,57400,78,26,0.3333,0.3718,24.0,95,3.9583,4.0705,8.3832,8.8312,6.0791,52,16,30,5,1,0.3542,0.5504,0.0696,0.0257
R-1093,M-210,Mid-Market,EMEA,52.0,No,35800,90,17,0.1889,0.2107,24.0,75,3.125,3.0902,10.6162,9.4356,8.3833,73,26,17,23,7,0.3754,0.3559,0.189,0.0797
R-1094,M-210,Mid-Market,EMEA,37.4,Yes,56500,80,20,0.25,0.2902,24.0,52,2.1667,2.3923,12.5574,11.0127,9.9243,60,18,20,13,9,0.2286,0.4153,0.2094,0.1466
R-1095,M-210,Mid-Market,EMEA,5.8,Yes,38800,9,2,0.2222,0.2328,5.8,55,9.4828,7.2754,8.4619,6.878,14.7267,7,1,3,2,1,0.2296,0.348,0.235,0.1874
R-1096,M-210,Mid-Market,EMEA,14.9,No,50800,64,9,0.1406,0.228,14.9,74,4.9664,4.5297,11.9626,10.1186,9.6677,55,25,16,4,10,0.5154,0.2302,0.0927,0.1617
R-1097,M-210,Mid-Market,EMEA,36.1,Yes,37800,81,25,0.3086,0.3565,24.0,84,3.5,3.2398,11.7458,10.0563,10.1638,56,14,16,17,9,0.1836,0.3957,0.2991,0.1216
R-1098,M-210,Mid-Market,EMEA,3.2,Yes,45700,4,1,0.25,0.1458,3.2,15,4.6875,4.2821,24.8859,13.9598,12.3849,3,0,1,0,2,0.2927,0.208,0.1142,0.3851
R-1099,M-210,Mid-Market,EMEA,11.4,Yes,49700,32,3,0.0938,0.1559,11.4,34,2.9825,3.6193,15.5699,8.5775,18.2722,29,6,13,6,4,0.2348,0.3168,0.2852,0.1632
R-1100,M-210,Mid-Market,EMEA,23.6,No,43800,93,27,0.2903,0.2216,23.6,39,1.6525,1.8364,13.8665,9.7764,12.9652,66,10,24,22,10,0.1678,0.3263,0.3325,0.1734
R-1101,M-211,SMB,North America,10.1,No,10600,66,13,0.197,0.2564,10.1,60,5.9406,6.1502,10.0106,9.5459,9.8559,53,6,11,24,12,0.1239,0.2714,0.3264,0.2784
R-1102,M-211,SMB,North America,38.2,No,7700,187,42,0.2246,0.1986,24.0,174,7.25,7.6628,11.2792,9.2534,10.6589,145,55,41,37,12,0.3494,0.2456,0.2983,0.1068
R-1103,M-211,SMB,North America,36.2,Yes,7000,195,57,0.2923,0.302,24.0,135,5.625,6.2592,13.4581,10.0116,13.4162,138,29,54,13,42,0.2295,0.3119,0.0944,0.3642
R-1104,M-211,SMB,North America,24.7,Yes,11400,89,30,0.3371,0.3229,24.0,202,8.4167,7.6471,14.4268,9.4512,16.3358,59,13,22,22,2,0.254,0.3818,0.275,0.0891
R-1105,M-211,SMB,North America,1.5,No,7600,4,0,0.0,0.2561,1.5,11,7.3333,7.6333,12.4022,8.5903,11.875,4,2,0,2,0,0.2481,0.2684,0.376,0.1075
R-1106,M-211,SMB,North America,20.8,Yes,10000,146,63,0.4315,0.3544,20.8,163,7.8365,7.6798,16.7694,10.0853,15.9369,83,11,23,28,21,0.1295,0.2614,0.3305,0.2785
R-1107,M-211,SMB,North America,43.0,No,9900,213,62,0.2911,0.3096,24.0,72,3.0,3.2147,10.3956,8.8097,9.4778,151,16,67,52,16,0.1407,0.4583,0.3241,0.0768
R-1108,M-211,SMB,North America,8.0,No,7000,64,16,0.25,0.3113,8.0,43,5.375,5.0597,14.4774,9.1853,12.8889,48,14,18,13,3,0.3324,0.3396,0.2432,0.0848
R-1109,M-211,SMB,North America,43.3,No,10500,129,34,0.2636,0.3231,24.0,117,4.875,5.5391,12.6057,9.8183,13.5636,95,16,45,25,9,0.1287,0.427,0.3161,0.1282
R-1110,M-211,SMB,North America,5.2,Yes,5800,22,5,0.2273,0.1891,5.2,29,5.5769,5.7955,11.582,9.7715,12.418,17,9,2,4,2,0.4393,0.1574,0.2811,0.1222
R-1111,M-211,SMB,North America,19.4,No,9200,154,19,0.1234,0.1227,19.4,142,7.3196,6.9381,12.7514,10.0243,11.7739,135,71,38,23,3,0.5012,0.3239,0.134,0.0409
R-1112,M-211,SMB,North America,33.1,Yes,11900,246,50,0.2033,0.1874,24.0,153,6.375,5.6949,9.7465,9.467,9.5644,196,58,74,54,10,0.3389,0.308,0.3194,0.0337
R-1113,M-211,SMB,North America,11.0,No,6500,74,22,0.2973,0.2717,11.0,47,4.2727,4.7918,13.0036,9.193,12.9318,52,0,11,28,13,0.0686,0.2838,0.4171,0.2306
R-1114,M-212,SMB,APAC,13.8,No,9400,89,28,0.3146,0.2879,13.8,76,5.5072,4.7282,9.7967,9.4167,8.4207,61,7,7,39,8,0.1597,0.1559,0.6335,0.0509
R-1115,M-212,SMB,APAC,22.8,Yes,8200,95,16,0.1684,0.1724,22.8,167,7.3246,7.3876,12.4067,10.1044,12.1343,79,14,23,30,12,0.1584,0.1717,0.5294,0.1405
R-1116,M-212,SMB,APAC,17.7,No,6400,34,9,0.2647,0.332,17.7,73,4.1243,4.1132,15.1989,8.2952,12.3943,25,11,5,7,2,0.3219,0.1864,0.2773,0.2143
R-1117,M-212,SMB,APAC,24.8,Yes,7400,206,85,0.4126,0.386,24.0,149,6.2083,6.0268,10.0825,9.4991,9.0612,121,22,48,27,24,0.1192,0.4531,0.2217,0.206
R-1118,M-212,SMB,APAC,21.4,Yes,7900,167,31,0.1856,0.2194,21.4,121,5.6542,6.0425,11.6277,9.08,11.5185,136,23,62,27,24,0.1982,0.4164,0.1978,0.1877
R-1119,M-212,SMB,APAC,12.5,Yes,9100,103,22,0.2136,0.1639,12.5,51,4.08,4.0504,14.583,9.6178,14.2159,81,13,20,39,9,0.1659,0.2621,0.4644,0.1076
R-1120,M-212,SMB,APAC,39.4,Yes,11500,226,41,0.1814,0.2067,24.0,207,8.625,8.5311,11.8573,10.0043,10.2964,185,37,39,79,30,0.208,0.2263,0.3852,0.1806
R-1121,M-212,SMB,APAC,11.0,Yes,7800,102,28,0.2745,0.2748,11.0,59,5.3636,6.1273,13.2468,10.9616,12.849,74,6,47,12,9,0.0548,0.6165,0.2155,0.1132
R-1122,M-212,SMB,APAC,14.3,No,9100,91,32,0.3516,0.3489,14.3,98,6.8531,6.8578,13.3213,10.2667,14.9938,59,34,9,9,7,0.476,0.1962,0.1754,0.1524
R-1123,M-212,SMB,APAC,16.7,No,11200,80,22,0.275,0.2548,16.7,78,4.6707,4.6147,10.7,9.7064,8.7826,58,8,24,15,11,0.1494,0.4514,0.2788,0.1204
R-1124,M-212,SMB,APAC,20.0,No,9100,175,53,0.3029,0.2753,20.0,86,4.3,3.8635,16.3046,10.6974,16.9639,122,60,39,22,1,0.4921,0.2961,0.1881,0.0237
R-1125,M-212,SMB,APAC,11.3,No,10500,105,18,0.1714,0.216,11.3,49,4.3363,4.845,13.2778,9.6618,12.0616,87,27,25,11,24,0.2834,0.287,0.1066,0.323
R-1126,M-212,SMB,APAC,10.7,No,8100,79,14,0.1772,0.1991,10.7,49,4.5794,5.3696,14.2204,10.5638,11.2426,65,9,37,15,4,0.1603,0.4802,0.246,0.1136
R-1127,M-212,SMB,APAC,29.8,No,7400,198,69,0.3485,0.3247,24.0,95,3.9583,4.2033,13.3903,9.8806,11.9958,129,24,60,38,7,0.1861,0.4951,0.255,0.0638
R-1128,M-212,SMB,APAC,13.1,No,9500,104,35,0.3365,0.3091,13.1,107,8.1679,8.9138,17.3085,10.8132,15.1469,69,38,14,12,5,0.5217,0.1877,0.2021,0.0884
R-1129,M-213,SMB,North America,48.3,No,8600,227,104,0.4581,0.4667,24.0,85,3.5417,3.3219,11.6203,9.2311,11.5127,123,13,29,78,3,0.0792,0.2862,0.5958,0.0388
R-1130,M-213,SMB,North America,36.9,Yes,8900,189,52,0.2751,0.2766,24.0,108,4.5,5.0672,16.873,9.2405,15.6848,137,29,58,46,4,0.2325,0.4103,0.3032,0.054
R-1131,M-213,SMB,North America,27.5,No,6100,148,50,0.3378,0.2828,24.0,173,7.2083,6.9048,12.8757,9.9119,12.5046,98,48,23,23,4,0.6035,0.2565,0.1243,0.0157
R-1132,M-213,SMB,North America,12.1,Yes,6800,95,40,0.4211,0.428,12.1,53,4.3802,4.5136,14.2953,9.3426,14.6056,55,20,18,13,4,0.2867,0.2959,0.3636,0.0538
R-1133,M-213,SMB,North America,31.1,Yes,8200,110,59,0.5364,0.4952,24.0,155,6.4583,7.7026,9.4612,8.581,6.5556,51,14,12,17,8,0.2399,0.2434,0.2935,0.2233
