"variant_id","brand","category","period","buyers_first_year","repeat_buyers_next_year","true_repeat_rate","true_niche"
"V027","Brand E","ground_coffee","2023-2024",6,3,0.3549,0
"V027","Brand E","ground_coffee","2024-2025",8,6,0.3549,0
"V028","Brand G","coffee_capsules","2023-2024",44,21,0.3779,0
"V028","Brand G","coffee_capsules","2024-2025",54,19,0.3779,0
"V029","Brand H","coffee_capsules","2023-2024",10,2,0.2495,0
"V029","Brand H","coffee_capsules","2024-2025",5,1,0.2495,0
"V030","Brand F","black_tea","2023-2024",394,249,0.6226,1
"V030","Brand F","black_tea","2024-2025",406,249,0.6226,1
"V031","Brand H","herbal_tea","2023-2024",37,10,0.2748,0
"V031","Brand H","herbal_tea","2024-2025",40,12,0.2748,0
"V032","Brand E","coffee_capsules","2023-2024",5,0,0.2817,0
"V032","Brand E","coffee_capsules","2024-2025",2,1,0.2817,0
"V033","Brand B","instant_coffee","2023-2024",199,73,0.3896,0
"V033","Brand B","instant_coffee","2024-2025",182,70,0.3896,0
"V034","Brand A","coffee_capsules","2023-2024",22,9,0.2987,0
"V034","Brand A","coffee_capsules","2024-2025",21,5,0.2987,0
"V035","Brand D","black_tea","2023-2024",28,11,0.3463,0
"V035","Brand D","black_tea","2024-2025",46,13,0.3463,0
"V036","Brand F","ground_coffee","2023-2024",197,67,0.3467,0
"V036","Brand F","ground_coffee","2024-2025",186,59,0.3467,0
"V037","Brand A","coffee_capsules","2023-2024",48,15,0.3571,0
"V037","Brand A","coffee_capsules","2024-2025",42,17,0.3571,0
"V038","Brand G","whole_beans","2023-2024",1161,428,0.3556,0
"V038","Brand G","whole_beans","2024-2025",1084,400,0.3556,0
"V039","Brand D","instant_coffee","2023-2024",13,2,0.2909,0
"V039","Brand D","instant_coffee","2024-2025",13,3,0.2909,0
"V040","Brand A","whole_beans","2023-2024",43,9,0.3026,0
"V040","Brand A","whole_beans","2024-2025",34,7,0.3026,0
"V041","Brand F","ground_coffee","2023-2024",51,21,0.4383,0
"V041","Brand F","ground_coffee","2024-2025",57,31,0.4383,0
"V042","Brand E","herbal_tea","2023-2024",76,38,0.4749,1
"V042","Brand E","herbal_tea","2024-2025",71,35,0.4749,1
"V043","Brand G","ground_coffee","2023-2024",95,59,0.6639,1
"V043","Brand G","ground_coffee","2024-2025",83,64,0.6639,1
"V044","Brand H","whole_beans","2023-2024",49,13,0.4139,0
"V044","Brand H","whole_beans","2024-2025",57,23,0.4139,0
"V045","Brand F","coffee_capsules","2023-2024",5,0,0.3341,0
"V045","Brand F","coffee_capsules","2024-2025",7,3,0.3341,0
"V046","Brand E","coffee_capsules","2023-2024",9,1,0.3674,0
"V046","Brand E","coffee_capsules","2024-2025",10,1,0.3674,0
"V047","Brand B","herbal_tea","2023-2024",23,4,0.229,0
"V047","Brand B","herbal_tea","2024-2025",26,3,0.229,0
"V048","Brand E","ground_coffee","2023-2024",16,3,0.3106,0
"V048","Brand E","ground_coffee","2024-2025",13,5,0.3106,0
"V049","Brand D","whole_beans","2023-2024",35,10,0.3,0
"V049","Brand D","whole_beans","2024-2025",27,12,0.3,0
"V050","Brand G","coffee_capsules","2023-2024",12,2,0.2672,0
"V050","Brand G","coffee_capsules","2024-2025",11,1,0.2672,0
"V051","Brand G","iced_coffee","2023-2024",109,24,0.2658,0
"V051","Brand G","iced_coffee","2024-2025",106,25,0.2658,0
"V052","Brand H","black_tea","2023-2024",34,9,0.3065,0
"V052","Brand H","black_tea","2024-2025",33,13,0.3065,0
"V053","Brand B","iced_coffee","2023-2024",43,13,0.233,0
"V053","Brand B","iced_coffee","2024-2025",57,12,0.233,0
"V054","Brand B","herbal_tea","2023-2024",11,3,0.3226,0
"V054","Brand B","herbal_tea","2024-2025",18,7,0.3226,0
"V055","Brand H","whole_beans","2023-2024",12,3,0.3614,0
"V055","Brand H","whole_beans","2024-2025",10,2,0.3614,0
"V056","Brand C","instant_coffee","2023-2024",215,95,0.4505,0
"V056","Brand C","instant_coffee","2024-2025",216,108,0.4505,0
"V057","Brand G","instant_coffee","2023-2024",10,1,0.3278,0
"V057","Brand G","instant_coffee","2024-2025",6,2,0.3278,0
"V058","Brand E","coffee_capsules","2023-2024",11,4,0.362,0
"V058","Brand E","coffee_capsules","2024-2025",6,2,0.362,0
"V059","Brand B","iced_coffee","2023-2024",9,1,0.218,0
"V059","Brand B","iced_coffee","2024-2025",4,0,0.218,0
"V060","Brand G","coffee_capsules","2023-2024",387,274,0.7289,1
"V060","Brand G","coffee_capsules","2024-2025",374,284,0.7289,1
"V061","Brand G","ground_coffee","2023-2024",24,5,0.3152,0
"V061","Brand G","ground_coffee","2024-2025",17,7,0.3152,0
"V062","Brand D","herbal_tea","2023-2024",140,45,0.3427,0
"V062","Brand D","herbal_tea","2024-2025",142,41,0.3427,0
"V063","Brand E","black_tea","2023-2024",8,2,0.3224,0
"V063","Brand E","black_tea","2024-2025",11,3,0.3224,0
"V064","Brand F","whole_beans","2023-2024",10,3,0.329,0
"V064","Brand F","whole_beans","2024-2025",14,3,0.329,0
"V065","Brand A","ground_coffee","2023-2024",20,7,0.3023,0
"V065","Brand A","ground_coffee","2024-2025",19,10,0.3023,0
"V066","Brand G","coffee_capsules","2023-2024",70,17,0.1945,0
"V066","Brand G","coffee_capsules","2024-2025",70,15,0.1945,0
"V067","Brand F","black_tea","2023-2024",20,5,0.3004,0
"V067","Brand F","black_tea","2024-2025",13,6,0.3004,0
"V068","Brand C","whole_beans","2023-2024",71,22,0.281,0
"V068","Brand C","whole_beans","2024-2025",69,18,0.281,0
"V069","Brand F","black_tea","2023-2024",34,12,0.308,0
"V069","Brand F","black_tea","2024-2025",24,7,0.308,0
"V070","Brand H","instant_coffee","2023-2024",39,12,0.2482,0
"V070","Brand H","instant_coffee","2024-2025",29,9,0.2482,0
"V071","Brand F","herbal_tea","2023-2024",623,287,0.4272,0
"V071","Brand F","herbal_tea","2024-2025",569,243,0.4272,0
"V072","Brand E","ground_coffee","2023-2024",13,5,0.2163,0
"V072","Brand E","ground_coffee","2024-2025",9,2,0.2163,0
"V073","Brand E","instant_coffee","2023-2024",99,36,0.3969,0
"V073","Brand E","instant_coffee","2024-2025",107,36,0.3969,0
"V074","Brand E","coffee_pods","2023-2024",127,66,0.4642,0
"V074","Brand E","coffee_pods","2024-2025",137,61,0.4642,0
"V075","Brand H","coffee_capsules","2023-2024",307,103,0.3767,0
"V075","Brand H","coffee_capsules","2024-2025",314,122,0.3767,0
"V076","Brand F","black_tea","2023-2024",41,13,0.2801,0
"V076","Brand F","black_tea","2024-2025",42,9,0.2801,0
"V077","Brand E","instant_coffee","2023-2024",37,10,0.2689,0
"V077","Brand E","instant_coffee","2024-2025",38,12,0.2689,0
"V078","Brand D","whole_beans","2023-2024",41,14,0.3217,0
"V078","Brand D","whole_beans","2024-2025",37,9,0.3217,0
"V079","Brand G","coffee_capsules","2023-2024",70,31,0.3759,0
"V079","Brand G","coffee_capsules","2024-2025",72,24,0.3759,0
"V080","Brand A","herbal_tea","2023-2024",77,22,0.2831,0
"V080","Brand A","herbal_tea","2024-2025",75,20,0.2831,0
"V081","Brand A","coffee_capsules","2023-2024",13,6,0.3291,0
"V081","Brand A","coffee_capsules","2024-2025",20,8,0.3291,0
"V082","Brand B","iced_coffee","2023-2024",95,15,0.2237,0
"V082","Brand B","iced_coffee","2024-2025",83,15,0.2237,0
"V083","Brand F","coffee_pods","2023-2024",57,26,0.4252,0
"V083","Brand F","coffee_pods","2024-2025",52,28,0.4252,0
"V084","Brand F","iced_coffee","2023-2024",66,18,0.2947,0
"V084","Brand F","iced_coffee","2024-2025",60,20,0.2947,0
"V085","Brand B","coffee_capsules","2023-2024",1707,952,0.5309,0
"V085","Brand B","coffee_capsules","2024-2025",1692,917,0.5309,0
"V086","Brand C","iced_coffee","2023-2024",49,14,0.2163,0
"V086","Brand C","iced_coffee","2024-2025",49,9,0.2163,0
"V087","Brand F","black_tea","2023-2024",6,1,0.3225,0
"V087","Brand F","black_tea","2024-2025",9,3,0.3225,0
"V088","Brand E","herbal_tea","2023-2024",44,14,0.2636,0
"V088","Brand E","herbal_tea","2024-2025",35,7,0.2636,0
"V089","Brand D","coffee_capsules","2023-2024",14,6,0.4187,0
"V089","Brand D","coffee_capsules","2024-2025",17,3,0.4187,0
"V090","Brand B","coffee_capsules","2023-2024",7,3,0.2971,0
"V090","Brand B","coffee_capsules","2024-2025",8,5,0.2971,0
"V091","Brand G","herbal_tea","2023-2024",11,2,0.1829,0
"V091","Brand G","herbal_tea","2024-2025",13,2,0.1829,0
"V092","Brand A","instant_coffee","2023-2024",27,12,0.4266,0
"V092","Brand A","instant_coffee","2024-2025",33,14,0.4266,0
"V093","Brand A","coffee_pods","2023-2024",107,35,0.4102,0
"V093","Brand A","coffee_pods","2024-2025",107,46,0.4102,0
"V094","Brand A","ground_coffee","2023-2024",45,22,0.494,0
"V094","Brand A","ground_coffee","2024-2025",58,34,0.494,0
"V095","Brand A","ground_coffee","2023-2024",4,2,0.3446,0
"V095","Brand A","ground_coffee","2024-2025",6,2,0.3446,0
"V096","Brand E","ground_coffee","2023-2024",21,5,0.2839,0
"V096","Brand E","ground_coffee","2024-2025",30,7,0.2839,0
"V097","Brand H","coffee_pods","2023-2024",3,0,0.3424,0
"V097","Brand H","coffee_pods","2024-2025",2,0,0.3424,0
"V098","Brand H","ground_coffee","2023-2024",18,6,0.2922,0
"V098","Brand H","ground_coffee","2024-2025",13,3,0.2922,0
"V099","Brand B","instant_coffee","2023-2024",6,1,0.2977,0
"V099","Brand B","instant_coffee","2024-2025",4,1,0.2977,0
"V100","Brand D","ground_coffee","2023-2024",4,0,0.3155,0
"V100","Brand D","ground_coffee","2024-2025",4,1,0.3155,0
"V101","Brand B","coffee_capsules","2023-2024",95,42,0.3841,0
"V101","Brand B","coffee_capsules","2024-2025",114,43,0.3841,0
"V102","Brand G","coffee_pods","2023-2024",28,6,0.2248,0
"V102","Brand G","coffee_pods","2024-2025",22,5,0.2248,0
"V103","Brand D","ground_coffee","2023-2024",21,7,0.324,0
"V103","Brand D","ground_coffee","2024-2025",34,9,0.324,0
"V104","Brand G","coffee_capsules","2023-2024",60,16,0.3355,0
"V104","Brand G","coffee_capsules","2024-2025",65,16,0.3355,0
"V105","Brand G","coffee_capsules","2023-2024",13,3,0.3589,0
"V105","Brand G","coffee_capsules","2024-2025",14,8,0.3589,0
"V106","Brand B","coffee_capsules","2023-2024",21,7,0.3432,0
"V106","Brand B","coffee_capsules","2024-2025",18,4,0.3432,0
"V107","Brand E","instant_coffee","2023-2024",15,3,0.2998,0
"V107","Brand E","instant_coffee","2024-2025",11,4,0.2998,0
"V108","Brand F","black_tea","2023-2024",14,3,0.29,0
"V108","Brand F","black_tea","2024-2025",11,2,0.29,0
"V109","Brand B","coffee_capsules","2023-2024",2,2,0.3653,0
"V109","Brand B","coffee_capsules","2024-2025",10,4,0.3653,0
"V110","Brand A","black_tea","2023-2024",76,29,0.426,0
"V110","Brand A","black_tea","2024-2025",72,35,0.426,0
"V111","Brand F","ground_coffee","2023-2024",61,27,0.3583,0
"V111","Brand F","ground_coffee","2024-2025",73,18,0.3583,0
"V112","Brand C","herbal_tea","2023-2024",5,2,0.2607,0
"V112","Brand C","herbal_tea","2024-2025",6,0,0.2607,0
"V113","Brand H","coffee_capsules","2023-2024",332,132,0.3469,0
"V113","Brand H","coffee_capsules","2024-2025",336,105,0.3469,0
"V114","Brand H","ground_coffee","2023-2024",18,5,0.3374,0
"V114","Brand H","ground_coffee","2024-2025",20,10,0.3374,0
"V115","Brand B","coffee_capsules","2023-2024",20,4,0.3226,0
"V115","Brand B","coffee_capsules","2024-2025",16,7,0.3226,0
"V116","Brand B","coffee_capsules","2023-2024",2,1,0.29,0
"V116","Brand B","coffee_capsules","2024-2025",2,2,0.29,0
"V117","Brand C","whole_beans","2023-2024",26,6,0.2246,0
"V117","Brand C","whole_beans","2024-2025",21,6,0.2246,0
"V118","Brand H","coffee_capsules","2023-2024",14,4,0.2716,0
"V118","Brand H","coffee_capsules","2024-2025",5,4,0.2716,0
"V119","Brand A","coffee_capsules","2023-2024",41,13,0.2435,0
"V119","Brand A","coffee_capsules","2024-2025",35,10,0.2435,0
"V120","Brand A","coffee_pods","2023-2024",26,5,0.2155,0
"V120","Brand A","coffee_pods","2024-2025",37,9,0.2155,0
"V121","Brand B","whole_beans","2023-2024",90,31,0.3633,0
"V121","Brand B","whole_beans","2024-2025",105,36,0.3633,0
"V122","Brand D","coffee_capsules","2023-2024",4,1,0.2369,0
"V122","Brand D","coffee_capsules","2024-2025",10,0,0.2369,0
"V123","Brand A","black_tea","2023-2024",5,0,0.1637,0
"V123","Brand A","black_tea","2024-2025",2,0,0.1637,0
"V124","Brand G","coffee_pods","2023-2024",41,11,0.362,0
"V124","Brand G","coffee_pods","2024-2025",47,13,0.362,0
"V125","Brand D","ground_coffee","2023-2024",39,13,0.2551,0
"V125","Brand D","ground_coffee","2024-2025",53,17,0.2551,0
"V126","Brand D","coffee_capsules","2023-2024",159,84,0.519,0
"V126","Brand D","coffee_capsules","2024-2025",171,87,0.519,0
"V127","Brand F","ground_coffee","2023-2024",14,6,0.2563,0
"V127","Brand F","ground_coffee","2024-2025",29,5,0.2563,0
"V128","Brand A","whole_beans","2023-2024",61,17,0.2826,0
"V128","Brand A","whole_beans","2024-2025",54,14,0.2826,0
"V129","Brand C","coffee_capsules","2023-2024",62,26,0.3334,0
"V129","Brand C","coffee_capsules","2024-2025",52,15,0.3334,0
"V130","Brand A","ground_coffee","2023-2024",7,2,0.2018,0
"V130","Brand A","ground_coffee","2024-2025",18,5,0.2018,0
"V131","Brand G","ground_coffee","2023-2024",3,0,0.2747,0
"V131","Brand G","ground_coffee","2024-2025",2,0,0.2747,0
"V132","Brand H","black_tea","2023-2024",8,0,0.2431,0
"V132","Brand H","black_tea","2024-2025",8,3,0.2431,0
"V133","Brand A","coffee_capsules","2023-2024",34,14,0.2629,0
"V133","Brand A","coffee_capsules","2024-2025",33,7,0.2629,0
"V134","Brand A","coffee_capsules","2023-2024",35,6,0.2735,0
"V134","Brand A","coffee_capsules","2024-2025",28,9,0.2735,0
"V135","Brand B","herbal_tea","2023-2024",4,0,0.1742,0
"V135","Brand B","herbal_tea","2024-2025",2,1,0.1742,0
"V136","Brand G","coffee_capsules","2023-2024",28,9,0.3152,0
"V136","Brand G","coffee_capsules","2024-2025",21,7,0.3152,0
"V137","Brand B","coffee_capsules","2023-2024",5,3,0.2565,0
"V137","Brand B","coffee_capsules","2024-2025",11,2,0.2565,0
"V138","Brand G","whole_beans","2023-2024",65,24,0.3519,0
"V138","Brand G","whole_beans","2024-2025",60,27,0.3519,0
"V139","Brand D","whole_beans","2023-2024",23,4,0.3431,0
"V139","Brand D","whole_beans","2024-2025",26,8,0.3431,0
"V140","Brand C","ground_coffee","2023-2024",10,2,0.3659,0
"V140","Brand C","ground_coffee","2024-2025",7,1,0.3659,0
"V141","Brand C","instant_coffee","2023-2024",71,26,0.3728,0
"V141","Brand C","instant_coffee","2024-2025",70,26,0.3728,0
"V142","Brand H","ground_coffee","2023-2024",13,6,0.3318,0
"V142","Brand H","ground_coffee","2024-2025",8,5,0.3318,0
"V143","Brand B","whole_beans","2023-2024",134,43,0.3595,0
"V143","Brand B","whole_beans","2024-2025",148,56,0.3595,0
"V144","Brand H","black_tea","2023-2024",10,3,0.3689,0
"V144","Brand H","black_tea","2024-2025",10,4,0.3689,0
"V145","Brand F","herbal_tea","2023-2024",2,1,0.1912,0
"V145","Brand F","herbal_tea","2024-2025",2,0,0.1912,0
"V146","Brand G","coffee_capsules","2023-2024",5,2,0.2829,0
"V146","Brand G","coffee_capsules","2024-2025",8,3,0.2829,0
"V147","Brand D","coffee_capsules","2023-2024",16,4,0.3095,0
"V147","Brand D","coffee_capsules","2024-2025",14,5,0.3095,0
"V148","Brand C","black_tea","2023-2024",14,2,0.2386,0
"V148","Brand C","black_tea","2024-2025",17,3,0.2386,0
"V149","Brand C","instant_coffee","2023-2024",8,2,0.271,0
"V149","Brand C","instant_coffee","2024-2025",5,1,0.271,0
"V150","Brand B","coffee_capsules","2023-2024",19,7,0.3968,0
"V150","Brand B","coffee_capsules","2024-2025",9,1,0.3968,0
"V151","Brand G","coffee_capsules","2023-2024",37,10,0.2691,0
"V151","Brand G","coffee_capsules","2024-2025",39,9,0.2691,0
"V152","Brand A","coffee_capsules","2023-2024",39,14,0.4349,0
"V152","Brand A","coffee_capsules","2024-2025",35,19,0.4349,0
"V153","Brand B","iced_coffee","2023-2024",36,5,0.2605,0
"V153","Brand B","iced_coffee","2024-2025",36,9,0.2605,0
"V154","Brand A","whole_beans","2023-2024",10,3,0.2823,0
"V154","Brand A","whole_beans","2024-2025",5,1,0.2823,0
"V155","Brand E","instant_coffee","2023-2024",28,17,0.4366,0
"V155","Brand E","instant_coffee","2024-2025",35,10,0.4366,0
"V156","Brand A","instant_coffee","2023-2024",218,70,0.2985,0
"V156","Brand A","instant_coffee","2024-2025",217,64,0.2985,0
"V157","Brand F","ground_coffee","2023-2024",6,1,0.2608,0
"V157","Brand F","ground_coffee","2024-2025",9,3,0.2608,0
"V158","Brand E","instant_coffee","2023-2024",439,200,0.4891,0
"V158","Brand E","instant_coffee","2024-2025",431,212,0.4891,0
"V159","Brand A","coffee_pods","2023-2024",83,31,0.392,0
"V159","Brand A","coffee_pods","2024-2025",80,32,0.392,0
"V160","Brand B","coffee_capsules","2023-2024",3,2,0.331,0
"V160","Brand B","coffee_capsules","2024-2025",4,1,0.331,0
"V161","Brand E","coffee_capsules","2023-2024",3,1,0.3306,0
"V161","Brand E","coffee_capsules","2024-2025",3,1,0.3306,0
"V162","Brand B","whole_beans","2023-2024",18,6,0.3071,0
"V162","Brand B","whole_beans","2024-2025",17,6,0.3071,0
"V163","Brand F","herbal_tea","2023-2024",26,7,0.2672,0
"V163","Brand F","herbal_tea","2024-2025",33,8,0.2672,0
"V164","Brand H","coffee_capsules","2023-2024",5,2,0.3247,0
"V164","Brand H","coffee_capsules","2024-2025",8,2,0.3247,0
"V165","Brand H","coffee_capsules","2023-2024",13,3,0.282,0
"V165","Brand H","coffee_capsules","2024-2025",6,1,0.282,0
"V166","Brand E","ground_coffee","2023-2024",42,13,0.327,0
"V166","Brand E","ground_coffee","2024-2025",55,17,0.327,0
"V167","Brand G","coffee_capsules","2023-2024",34,14,0.3388,0
"V167","Brand G","coffee_capsules","2024-2025",37,10,0.3388,0
"V168","Brand A","whole_beans","2023-2024",7,1,0.1992,0
"V168","Brand A","whole_beans","2024-2025",3,0,0.1992,0
"V169","Brand F","whole_beans","2023-2024",9,4,0.278,0
"V169","Brand F","whole_beans","2024-2025",20,7,0.278,0
"V170","Brand F","coffee_capsules","2023-2024",8,0,0.2612,0
"V170","Brand F","coffee_capsules","2024-2025",8,0,0.2612,0
"V171","Brand H","coffee_pods","2023-2024",2,2,0.2735,0
"V171","Brand H","coffee_pods","2024-2025",2,1,0.2735,0
"V172","Brand D","instant_coffee","2023-2024",13,1,0.2354,0
"V172","Brand D","instant_coffee","2024-2025",9,1,0.2354,0
"V173","Brand C","whole_beans","2023-2024",7,2,0.3137,0
"V173","Brand C","whole_beans","2024-2025",13,7,0.3137,0
"V174","Brand H","coffee_pods","2023-2024",22,6,0.2313,0
"V174","Brand H","coffee_pods","2024-2025",20,2,0.2313,0
"V175","Brand B","coffee_capsules","2023-2024",9,4,0.2351,0
"V175","Brand B","coffee_capsules","2024-2025",7,0,0.2351,0
"V176","Brand F","black_tea","2023-2024",58,22,0.3863,0
"V176","Brand F","black_tea","2024-2025",54,19,0.3863,0
"V177","Brand G","herbal_tea","2023-2024",4,1,0.2655,0
"V177","Brand G","herbal_tea","2024-2025",5,3,0.2655,0
"V178","Brand E","herbal_tea","2023-2024",279,82,0.3452,0
"V178","Brand E","herbal_tea","2024-2025",268,92,0.3452,0
"V179","Brand E","iced_coffee","2023-2024",4,1,0.1814,0
"V179","Brand E","iced_coffee","2024-2025",5,1,0.1814,0
"V180","Brand H","whole_beans","2023-2024",42,15,0.4619,0
"V180","Brand H","whole_beans","2024-2025",46,25,0.4619,0
"V181","Brand F","coffee_capsules","2023-2024",438,160,0.3425,0
"V181","Brand F","coffee_capsules","2024-2025",442,134,0.3425,0
"V182","Brand D","ground_coffee","2023-2024",9,2,0.2896,0
"V182","Brand D","ground_coffee","2024-2025",7,1,0.2896,0
"V183","Brand H","herbal_tea","2023-2024",10,2,0.3507,0
"V183","Brand H","herbal_tea","2024-2025",13,5,0.3507,0
"V184","Brand G","black_tea","2023-2024",6,1,0.2276,0
"V184","Brand G","black_tea","2024-2025",8,1,0.2276,0
"V185","Brand B","ground_coffee","2023-2024",21,9,0.4045,0
"V185","Brand B","ground_coffee","2024-2025",33,14,0.4045,0
"V186","Brand H","ground_coffee","2023-2024",61,27,0.3061,0
"V186","Brand H","ground_coffee","2024-2025",49,14,0.3061,0
"V187","Brand E","coffee_pods","2023-2024",2,2,0.2668,0
"V187","Brand E","coffee_pods","2024-2025",4,2,0.2668,0
"V188","Brand D","coffee_capsules","2023-2024",6,1,0.3246,0
"V188","Brand D","coffee_capsules","2024-2025",6,2,0.3246,0
"V189","Brand G","coffee_capsules","2023-2024",2,1,0.3376,0
"V189","Brand G","coffee_capsules","2024-2025",4,1,0.3376,0
"V190","Brand F","ground_coffee","2023-2024",43,12,0.3278,0
"V190","Brand F","ground_coffee","2024-2025",55,18,0.3278,0
"V191","Brand D","ground_coffee","2023-2024",42,14,0.3598,0
"V191","Brand D","ground_coffee","2024-2025",50,20,0.3598,0
"V192","Brand F","coffee_capsules","2023-2024",12,5,0.3125,0
"V192","Brand F","coffee_capsules","2024-2025",13,4,0.3125,0
"V193","Brand A","coffee_capsules","2023-2024",6,1,0.2873,0
"V193","Brand A","coffee_capsules","2024-2025",8,1,0.2873,0
"V194","Brand D","herbal_tea","2023-2024",2,0,0.2318,0
"V194","Brand D","herbal_tea","2024-2025",5,1,0.2318,0
"V195","Brand D","ground_coffee","2023-2024",67,31,0.3744,0
"V195","Brand D","ground_coffee","2024-2025",79,26,0.3744,0
"V196","Brand F","ground_coffee","2023-2024",9,2,0.3087,0
"V196","Brand F","ground_coffee","2024-2025",10,2,0.3087,0
"V197","Brand G","coffee_capsules","2023-2024",70,26,0.4054,0
"V197","Brand G","coffee_capsules","2024-2025",73,32,0.4054,0
"V198","Brand C","whole_beans","2023-2024",481,183,0.397,0
"V198","Brand C","whole_beans","2024-2025",495,184,0.397,0
"V199","Brand A","black_tea","2023-2024",193,73,0.3335,0
"V199","Brand A","black_tea","2024-2025",196,74,0.3335,0
"V200","Brand B","coffee_capsules","2023-2024",7,3,0.3207,0
"V200","Brand B","coffee_capsules","2024-2025",8,3,0.3207,0
"V201","Brand A","herbal_tea","2023-2024",141,36,0.2507,0
"V201","Brand A","herbal_tea","2024-2025",163,34,0.2507,0
"V202","Brand H","black_tea","2023-2024",10,1,0.2709,0
"V202","Brand H","black_tea","2024-2025",13,4,0.2709,0
"V203","Brand D","ground_coffee","2023-2024",50,18,0.4159,0
"V203","Brand D","ground_coffee","2024-2025",36,20,0.4159,0
"V204","Brand A","iced_coffee","2023-2024",34,6,0.2339,0
"V204","Brand A","iced_coffee","2024-2025",44,13,0.2339,0
"V205","Brand E","ground_coffee","2023-2024",45,12,0.3165,0
"V205","Brand E","ground_coffee","2024-2025",55,18,0.3165,0
"V206","Brand H","instant_coffee","2023-2024",18,8,0.3344,0
"V206","Brand H","instant_coffee","2024-2025",26,5,0.3344,0
"V207","Brand B","coffee_capsules","2023-2024",39,9,0.3,0
"V207","Brand B","coffee_capsules","2024-2025",43,18,0.3,0
"V208","Brand B","iced_coffee","2023-2024",59,14,0.2617,0
"V208","Brand B","iced_coffee","2024-2025",54,15,0.2617,0
"V209","Brand F","coffee_pods","2023-2024",2,2,0.3067,0
"V209","Brand F","coffee_pods","2024-2025",2,1,0.3067,0
"V210","Brand D","black_tea","2023-2024",16,6,0.3061,0
"V210","Brand D","black_tea","2024-2025",14,2,0.3061,0
"V211","Brand G","instant_coffee","2023-2024",47,12,0.3264,0
"V211","Brand G","instant_coffee","2024-2025",36,13,0.3264,0
